#NAME	S95	S96	S97	S99	S100	S101	S102	S103	S104	S105	S106	S107	S108	S109	S110	S111	S112	S113	S114	S115	S116	S117	S118	S119	S120	S121	S122	S123	S124	S125	S126	S127	S128	S129	S130	S131	S132	S133	S134	S135	S136	S137	S138	S139	S140	S141	S142	S143	S144	S145	S146	S147	S148	S149	S150	S151	S152	S153	S154
Otu1	5803	4196	35192	99	14282	1031	760	17	123	940	19	1115	2023	148	2828	806	65	680	5	2713	2235	6	5278	3699	211	2007	198	7441	12340	24636	4571	568	15620	6554	3929	12	6950	276	18740	7273	1911	8	9790	901	144	1714	617	14946	3128	5070	872	206	14165	3616	1707	4	2891	115	11052
Otu2	2	5	8	850	2368	314	5	2	3602	5802	10562	181	8	205	117	26	4	3322	1	548	772	4445	3302	4	228	2633	4	12100	186	60	1453	3	5345	934	866	2629	792	7	5190	678	729	3019	948	12	81	3376	1	6080	57	73	94	8	3695	537	473	2269	576	6	2408
Otu3	8307	14126	25	5	1011	5	1227	12	9	3536	6	43	3637	765	1762	2921	2207	41	2113	542	89	246	4	898	1081	8	4463	0	1038	324	1388	20700	47	887	66	157	651	20067	21	865	74	225	3	132	202	4	2770	5	821	1932	57	128	10	474	54	192	516	5239	21
Otu4	2337	2	0	14	1897	3	50	5	2826	181	87	227	10	2	4436	2053	1641	1883	5117	3701	1614	115	34	2531	47	34	2	13	236	47	296	2	68	5127	1594	45	473	3	22	4889	1550	98	40	265	2	37	1	6	286	329	1	0	24	4235	1204	94	105	3	29
Otu5	116	609	23	4	10	44	3	99	1	1	2515	64	81	497	2	10	967	22	567	5283	2490	28	344	14	3	1	9	14	398	426	50	0	0	7476	2618	27	76	5	1	9162	2441	17	365	8	1	0	3	14	54	98	0	1	6	9386	2134	35	43	2	0
Otu6	0	0	0	0	0	11	121	531	4	1	2	0	2	0	3	0	161	13	1025	0	147	0	16	0	49	7	49	12	4	0	0	15	8460	8	117	0	1	0	13923	0	96	1	10	1	18	13	1	8	19	0	12	0	9448	0	65	0	1	0	8662
Otu7	1	173	120	743	71	2093	2	1210	3	0	0	1	0	0	2	0	2	0	202	1	0	1	296	837	590	7	1	39	124	108	3397	1841	30	2	2	0	976	1753	1	2	0	1	605	699	1801	6	3	41	155	168	6843	1458	1	1	1	0	5066	1188	2
Otu8	632	988	0	863	60	389	1141	708	34	794	30	358	102	8	1675	453	245	11	9557	991	254	2017	144	9	72	15	1675	7	1	1	404	1122	2	1158	241	1549	568	1410	0	1474	245	586	108	1	151	8	2362	0	129	2	74	18	0	1389	197	642	354	208	6
Otu9	577	466	21	113	336	277	2605	1725	1621	1118	530	109	6	27	2164	3162	4815	1217	195	187	608	48	2605	139	671	131	361	29	327	217	5	1	1	189	736	72	92	5	3	246	765	58	1497	136	282	66	349	93	471	351	16	0	2	223	714	49	73	0	0
Otu10	207	3295	5	1864	969	3678	2	109	1	429	19	1700	13	7702	1048	3353	244	2	1858	65	181	332	13	572	39	320	372	9	126	110	178	0	0	20	303	266	328	6	0	56	144	229	22	473	10	206	203	16	132	65	21	2	0	42	146	110	218	0	1
Otu11	625	0	517	728	2787	376	802	685	1339	1767	7	928	2	66	98	667	1	445	2128	49	199	1254	252	415	105	294	636	0	1101	622	496	2	3	109	226	1146	1463	2	0	137	215	405	282	320	71	329	669	0	696	701	257	0	1	92	201	332	446	2	1
Otu12	246	12	0	2234	846	602	1418	626	36	58	5	8	8	25	493	707	185	2181	23	31	412	1168	1059	25	283	901	798	0	1800	1045	283	113	0	52	372	1539	761	168	0	181	436	681	820	45	77	791	1296	1	1419	1704	103	2	1	87	306	602	467	42	0
Otu13	4	761	59	2	106	1	0	6130	2	0	0	0	0	0	0	8	0	1	189	0	0	0	74	4423	0	5	0	0	52	27	0	1671	0	1	0	2	1	2070	0	4	1	1	159	3477	1	0	0	0	44	19	2	1216	1	1	0	0	0	1065	0
Otu14	644	2386	2570	0	10	6	0	7709	1	0	468	0	3415	414	0	3	2	3	163	1	0	0	0	0	29	0	1	993	1	1	45	1566	123	3	0	0	16	1657	156	1	2	0	6	1	16	0	0	1031	21	0	0	33	121	0	0	1	32	595	83
Otu15	2102	543	8	569	4383	4361	157	0	394	3116	123	15	0	3852	230	325	66	1	31	55	0	3	3	535	1	1	332	0	217	112	1	1	0	60	0	4	99	5	0	56	0	4	2	612	0	2	96	1	107	148	45	1	0	61	2	2	135	1	11
Otu16	1	1	29	4	24	12	0	0	1270	0	0	9	0	45	0	0	0	8	0	0	0	11	0	42	0	1	9	0	0	0	0	184	0	4	0	3	0	63	0	0	0	51	0	38	9	0	0	0	4	5	0	9357	9	1	1	47	0	10211	0
Otu17	1090	1245	412	11	627	133	104	1815	1303	1	6	694	1147	500	1819	0	0	0	2490	0	1	378	0	712	71	93	156	0	790	626	84	0	441	0	18	184	34	0	500	1	1	129	0	87	72	64	66	0	683	945	0	0	701	0	10	100	4	0	390
Otu18	2486	2041	0	2	555	0	3	1	1	2	1	110	8	0	707	1	6	4493	142	2003	0	1	0	2	1642	3	0	0	235	88	2	41	1	2368	2	1	0	15	0	2502	2	0	0	0	227	0	0	0	223	287	0	0	0	2001	0	2	0	2	17
